,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
74,0.006285953521728516,0.0013283135504704772,0.0,0.0,poisson,1,log2,6,7,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 7, 'splitter': 'best'}",,,,,,,,1025
75,0.006262397766113282,0.0011576640565656878,0.0,0.0,poisson,1,log2,6,7,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 7, 'splitter': 'random'}",,,,,,,,1025
76,0.005779743194580078,0.0011791967254252216,0.0,0.0,poisson,1,log2,6,12,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 12, 'splitter': 'best'}",,,,,,,,1025
77,0.0066051483154296875,0.0004934855918734129,0.0,0.0,poisson,1,log2,6,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
78,0.005319356918334961,0.0016078440806932674,0.0,0.0,poisson,1,log2,6,17,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 17, 'splitter': 'best'}",,,,,,,,1025
79,0.004148530960083008,0.0012341674258554173,0.0,0.0,poisson,1,log2,6,17,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 6, 'min_samples_split': 17, 'splitter': 'random'}",,,,,,,,1025
80,0.006800937652587891,0.0007515118416804169,0.0,0.0,poisson,1,log2,11,2,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 2, 'splitter': 'best'}",,,,,,,,1025
81,0.005802345275878906,0.0011707119945672507,0.0,0.0,poisson,1,log2,11,2,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 2, 'splitter': 'random'}",,,,,,,,1025
82,0.00494694709777832,0.0012623996344553585,0.0,0.0,poisson,1,log2,11,7,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 7, 'splitter': 'best'}",,,,,,,,1025
83,0.005999231338500976,0.0015517522378896249,0.0,0.0,poisson,1,log2,11,7,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 7, 'splitter': 'random'}",,,,,,,,1025
84,0.004597377777099609,0.0017405367362053016,0.0,0.0,poisson,1,log2,11,12,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 12, 'splitter': 'best'}",,,,,,,,1025
85,0.005946493148803711,0.0010960321266533508,0.0,0.0,poisson,1,log2,11,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
86,0.003363227844238281,0.0006191429021412038,0.0,0.0,poisson,1,log2,11,17,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 17, 'splitter': 'best'}",,,,,,,,1025
87,0.006617021560668945,0.000979592506982002,0.0,0.0,poisson,1,log2,11,17,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 11, 'min_samples_split': 17, 'splitter': 'random'}",,,,,,,,1025
88,0.0037197113037109376,0.0005975974046027387,0.0,0.0,poisson,1,log2,16,2,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 2, 'splitter': 'best'}",,,,,,,,1025
89,0.005456686019897461,0.0017174942288528845,0.0,0.0,poisson,1,log2,16,2,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 2, 'splitter': 'random'}",,,,,,,,1025
90,0.0060196399688720705,0.001475672949587337,0.0,0.0,poisson,1,log2,16,7,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 7, 'splitter': 'best'}",,,,,,,,1025
91,0.004419374465942383,0.0012972331130292239,0.0,0.0,poisson,1,log2,16,7,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 7, 'splitter': 'random'}",,,,,,,,1025
92,0.005845165252685547,0.0010072308688450398,0.0,0.0,poisson,1,log2,16,12,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 12, 'splitter': 'best'}",,,,,,,,1025
93,0.006340646743774414,0.0003840656052188159,0.0,0.0,poisson,1,log2,16,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
94,0.006006479263305664,0.001096806637206366,0.0,0.0,poisson,1,log2,16,17,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 17, 'splitter': 'best'}",,,,,,,,1025
95,0.006627035140991211,0.0003960229601467225,0.0,0.0,poisson,1,log2,16,17,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': 'log2', 'min_samples_leaf': 16, 'min_samples_split': 17, 'splitter': 'random'}",,,,,,,,1025
96,0.004774904251098633,0.0006116177344860927,0.0,0.0,poisson,1,,1,2,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",,,,,,,,1025
97,0.007488679885864258,0.0029134046706834776,0.0,0.0,poisson,1,,1,2,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",,,,,,,,1025
98,0.006246376037597656,0.001086865818441317,0.0,0.0,poisson,1,,1,7,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'best'}",,,,,,,,1025
99,0.006393146514892578,0.0011995168913389105,0.0,0.0,poisson,1,,1,7,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 7, 'splitter': 'random'}",,,,,,,,1025
100,0.006932210922241211,0.0006406009594044803,0.0,0.0,poisson,1,,1,12,best,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'splitter': 'best'}",,,,,,,,1025
101,0.006819677352905273,0.0009451306832378348,0.0,0.0,poisson,1,,1,12,random,"{'criterion': 'poisson', 'max_depth': 1, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 12, 'splitter': 'random'}",,,,,,,,1025
